Epoch,Policy Loss,Value Loss
0,16.12207794189453,10.239553451538086
1,15.078864097595215,10.239703178405762
2,13.151995658874512,10.239823341369629
3,10.621870994567871,10.239884376525879
4,7.768693923950195,10.239925384521484
5,4.95082426071167,10.239927291870117
6,3.205866813659668,10.239916801452637
7,2.528249502182007,10.239853858947754
8,1.9338061809539795,10.239706993103027
9,1.2613991498947144,10.239365577697754
10,0.6437178254127502,10.23854923248291
11,0.2577146291732788,10.23669719696045
12,0.09242822974920273,10.231794357299805
13,0.03388318791985512,10.211809158325195
14,0.01343283336609602,10.013458251953125
15,0.0063132611103355885,1.4606930017471313
16,0.003483182517811656,1.4400196075439453
17,0.002162381773814559,1.440000057220459
18,0.0014859121292829514,1.440000057220459
19,0.0010930284624919295,1.440000057220459
0,15.269235610961914,2.25
1,13.922100067138672,2.25
2,11.469186782836914,2.25
3,8.308523178100586,2.25
4,6.2896504402160645,2.25
5,5.74429178237915,2.25
6,5.229874134063721,2.25
7,4.561751365661621,2.25
8,3.722581386566162,2.25
9,2.737327814102173,2.25
10,1.6693230867385864,2.25
11,0.7347697615623474,2.25
12,0.22479604184627533,2.25
13,0.05932779237627983,2.25
14,0.01633075438439846,2.25
15,0.0049840970896184444,2.25
16,0.0017062166007235646,2.25
17,0.0006482883472926915,2.25
18,0.00026890001026913524,2.25
19,0.00012051333033014089,2.25
0,16.779712677001953,31.35999870300293
1,16.17020034790039,31.35999870300293
2,14.842824935913086,31.35999870300293
3,12.955286979675293,31.35999870300293
4,10.688898086547852,31.35999870300293
5,8.182467460632324,31.35999870300293
6,5.651116371154785,31.35999870300293
7,3.582545757293701,31.35999870300293
8,2.7021195888519287,31.35999870300293
9,2.249586343765259,31.35999870300293
10,1.6856013536453247,31.35999870300293
11,0.9961593747138977,31.35999870300293
12,0.4231446385383606,31.35999870300293
13,0.13813209533691406,31.35999870300293
14,0.042284127324819565,31.35999870300293
15,0.013760230503976345,31.35999870300293
16,0.004945782944560051,31.35999870300293
17,0.0019646643195301294,31.35999870300293
18,0.0008553183870390058,31.35999870300293
19,0.00040570611599832773,31.35999870300293
0,17.569026947021484,102.010009765625
1,16.646347045898438,102.010009765625
2,14.733160972595215,102.010009765625
3,12.12855052947998,102.010009765625
4,9.180815696716309,102.010009765625
5,6.546629428863525,102.010009765625
6,5.347319602966309,102.010009765625
7,4.847992897033691,102.010009765625
8,4.390589237213135,102.010009765625
9,3.8404133319854736,102.010009765625
10,3.1525697708129883,102.010009765625
11,2.332843065261841,102.010009765625
12,1.4417383670806885,102.010009765625
13,0.6689878106117249,102.010009765625
14,0.22800879180431366,102.010009765625
15,0.06768810749053955,102.010009765625
16,0.020439473912119865,102.010009765625
17,0.00667236465960741,102.010009765625
18,0.0023910999298095703,102.010009765625
19,0.0009386900928802788,102.010009765625
0,16.15518569946289,5.289999961853027
1,15.692914009094238,5.289999961853027
